Subject,Criteria A,Criteria B,Criteria C,Criteria D
English Language and Literature,Analyzing,Organizing,Producing text,Using language
English as Additional Language,Listening,Reading,Speaking,Writing
German Language and Literature,Analyzing,Organizing,Producing text,Using language
French Language and Literature,Analyzing,Organizing,Producing text,Using language
Arabic Language Acquisition,Listening,Reading,Speaking,Writing
Arabic Language and Literature,Analyzing,Organizing,Producing text,Using language
French - Language Acquisition,Listening,Reading,Speaking,Writing
German- Language Acquisition,Listening,Reading,Speaking,Writing
Spanish - Language Acquisition,Listening,Reading,Speaking,Writing
Mathematics,Knowing and understanding,Investigating patterns,Communicating,Applying mathematics in real world contexts
Mathematics Extended,Knowing and understanding,Investigating patterns,Communicating,Applying mathematics in real world contexts
Individuals & Societies - French,Knowing and understanding,Investigating,Communicating,Thinking critically
Individuals & Societies - German,Knowing and understanding,Investigating,Communicating,Thinking critically
Individuals & Societies - English,Knowing and understanding,Investigating,Communicating,Thinking critically
Individuals and Societies - Commerce,Knowing and understanding,Investigating,Communicating,Thinking critically
Design,Inquiring and analyzing,Developing ideas,Creating the solution,Evaluating
Computer Science,Inquiring and analyzing,Developing ideas,Creating the solution,Evaluating
Physical Education,Knowing and understanding,Planning for performance,Applying and performing,Reflecting and improving performance
Drama,Investigating,Developing,Creating/Performing,Evaluating
The Arts,Investigating,Developing,Creating/Performing,Evaluating
Visual Arts,Investigating,Developing,Creating/Performing,Evaluating
Music,Investigating,Developing,Creating/Performing,Evaluating
Integrated Science,Knowing and understanding,Inquiring and designing,Processing and evaluating,Reflecting on the impacts of science
Biology,Knowing and understanding,Inquiring and designing,Processing and evaluating,Reflecting on the impacts of science
Chemistry,Knowing and understanding,Inquiring and designing,Processing and evaluating,Reflecting on the impacts of science
Physics,Knowing and understanding,Inquiring and designing,Processing and evaluating,Reflecting on the impacts of science
